997855011-9,Riot in Cell Block 11,Diane Sturge;Rutter Hedworth,7,Prayer,Available,1
129846953-8,King Kong,Ferguson Minchindon;Benedicta Leopold,3,Drama,Available,3
129846953-8,King Kong,Ferguson Minchindon;Benedicta Leopold,3,Drama,Available,4
125538749-1,Stakeout,Ardra Craig;Dionis Phelan,5,Math,Available,1
118006471-2,2-Headed Shark Attack,Alfons Wright;Xena Ajsik,9,Art,Available,1
118006471-2,2-Headed Shark Attack,Alfons Wright;Xena Ajsik,9,Art,Available,2
112059792-7,Dug's Special Mission,Win Sloey;Bev Pirie,5,Action and adventure,Available,1
112059792-7,Dug's Special Mission,Win Sloey;Bev Pirie,5,Action and adventure,Available,2
112059792-7,Dug's Special Mission,Win Sloey;Bev Pirie,5,Action and adventure,Available,3
112059792-7,Dug's Special Mission,Win Sloey;Bev Pirie,5,Action and adventure,Available,4
109922382-2,"Chamber The",Truda Brand;Flossy Cannan,6,Poetry,Available,1
109922382-2,"Chamber The",Truda Brand;Flossy Cannan,6,Poetry,Available,2
109922382-2,"Chamber The",Truda Brand;Flossy Cannan,6,Poetry,Available,3
109922382-2,"Chamber The",Truda Brand;Flossy Cannan,6,Poetry,Available,4
108669552-6,L.A. Confidential,Iona Rule;Tommi Milius,4,Health,Available,1
108669552-6,L.A. Confidential,Iona Rule;Tommi Milius,4,Health,Available,2
108669552-6,L.A. Confidential,Iona Rule;Tommi Milius,4,Health,Available,3
108669552-6,L.A. Confidential,Iona Rule;Tommi Milius,4,Health,Available,4
107270900-7,Vertical Limit,Lolita Dovidaitis;Art Greensmith,9,Guide,Available,1
106268352-8,"Pursuit of Happiness The",Roz Strooband;Vivia Pither,9,Cookbook,Available,1
102392847-7,Defying Gravity,Lonnie Addionisio;Stepha Sangra,4,True crime,Available,1
102392847-7,Defying Gravity,Lonnie Addionisio;Stepha Sangra,4,True crime,Available,2
102392847-7,Defying Gravity,Lonnie Addionisio;Stepha Sangra,4,True crime,Available,3
102392847-7,Defying Gravity,Lonnie Addionisio;Stepha Sangra,4,True crime,Available,4
099909923-X,Wrong Turn 5: Bloodlines,Daniele Goford;Pavla Borwick,4,Self help,Available,1
098961080-2,Iron Man: Rise Of Technovore,Myrtie Sutherland;Eve Penwarden,3,Math,Available,1
098961080-2,Iron Man: Rise Of Technovore,Myrtie Sutherland;Eve Penwarden,3,Math,Available,2
098961080-2,Iron Man: Rise Of Technovore,Myrtie Sutherland;Eve Penwarden,3,Math,Available,3
098961080-2,Iron Man: Rise Of Technovore,Myrtie Sutherland;Eve Penwarden,3,Math,Available,4
098955572-0,Very Ordinary Couple (Yeonaeui Wondo),Arnie Galway;Westbrook Carratt,1,Cookbook,Available,1
094941884-6,Take Me Home Tonight,Romona Klisch;Shawn Pawlata,2,Horror,Available,1
093010420-X,Frida,Lorettalorna Klishin;Cherianne Richin,3,Coming-of-age,Available,1
093010420-X,Frida,Lorettalorna Klishin;Cherianne Richin,3,Coming-of-age,Available,2
093010420-X,Frida,Lorettalorna Klishin;Cherianne Richin,3,Coming-of-age,Available,3
093010420-X,Frida,Lorettalorna Klishin;Cherianne Richin,3,Coming-of-age,Available,4
089102744-0,"Mr. Death: The Rise and Fall of Fred A. Leuchter Jr.",Hakeem Westney;Orv Melling,7,Coming-of-age,Available,1
089102744-0,"Mr. Death: The Rise and Fall of Fred A. Leuchter Jr.",Hakeem Westney;Orv Melling,7,Coming-of-age,Available,2
089102744-0,"Mr. Death: The Rise and Fall of Fred A. Leuchter Jr.",Hakeem Westney;Orv Melling,7,Coming-of-age,Available,3
087466976-6,Devdas,Sharia Rodmell;Rutter Backsal,6,Fairytale,Available,1
087466976-6,Devdas,Sharia Rodmell;Rutter Backsal,6,Fairytale,Available,2
087466976-6,Devdas,Sharia Rodmell;Rutter Backsal,6,Fairytale,Available,3
087466976-6,Devdas,Sharia Rodmell;Rutter Backsal,6,Fairytale,Available,4
083294410-6,When the Game Stands Tall,Stanislaus Widdecombe;Del MacAfee,6,Chick lit,Available,1
080235918-3,Tora-san's Rise and Fall (Otoko wa tsurai yo: Torajiro aiaigasa),Rosabel Greengrass;Brynn Oxbrow,5,History,Available,1
080235542-0,"Fistful of Dollars A (Per un pugno di dollari)",Dane Ygo;Cassy Goaley,4,Poetry,Available,1
080235542-0,"Fistful of Dollars A (Per un pugno di dollari)",Dane Ygo;Cassy Goaley,4,Poetry,Available,2
080235542-0,"Fistful of Dollars A (Per un pugno di dollari)",Dane Ygo;Cassy Goaley,4,Poetry,Available,3
080235542-0,"Fistful of Dollars A (Per un pugno di dollari)",Dane Ygo;Cassy Goaley,4,Poetry,Available,4
079494681-X,Homer & Eddie,Jamison Acarson;Daren Firsby,5,Biography,Available,1
079494681-X,Homer & Eddie,Jamison Acarson;Daren Firsby,5,Biography,Available,2
079494681-X,Homer & Eddie,Jamison Acarson;Daren Firsby,5,Biography,Available,3
079494681-X,Homer & Eddie,Jamison Acarson;Daren Firsby,5,Biography,Available,4
076601294-8,Mars Attacks!,Reamonn Stockhill;Kirsteni Loudyan,7,Coming-of-age,Available,1
076601294-8,Mars Attacks!,Reamonn Stockhill;Kirsteni Loudyan,7,Coming-of-age,Available,2
076601294-8,Mars Attacks!,Reamonn Stockhill;Kirsteni Loudyan,7,Coming-of-age,Available,3
076601294-8,Mars Attacks!,Reamonn Stockhill;Kirsteni Loudyan,7,Coming-of-age,Available,4
076529333-1,"Town That Dreaded Sundown The",Crysta Gorler;Auroora Reame,6,True crime,Available,1
073916256-X,Oldboy,Alister Catonne;Kattie Salter,2,Book review,Available,1
073017605-3,Scent of a Woman (Profumo di donna),Alvera Brayn;Loella Wolfinger,4,Chick lit,Available,1
069887323-8,Wuthering Heights,Arlin Shatford;Sharon Redfield,4,Diary,Available,1
061458546-5,"Lawless Breed The",Prescott Hurdedge;Franni Crampton,7,Anthology,Available,4
061388833-2,"Mark The",Marna Soper;Annadiane Doumer,7,Math,Available,1
061388833-2,"Mark The",Marna Soper;Annadiane Doumer,7,Math,Available,2
061388833-2,"Mark The",Marna Soper;Annadiane Doumer,7,Math,Available,3
061388833-2,"Mark The",Marna Soper;Annadiane Doumer,7,Math,Available,4
050694302-X,"Amish Murder An",Bailey Reinbech;Hyacinthie Reeks,4,Horror,Available,1
050694302-X,"Amish Murder An",Bailey Reinbech;Hyacinthie Reeks,4,Horror,Available,2
046422982-0,Lilian's Story,Clarita Risby;Rutherford D'Ruel,7,Children's literature,Available,1
046422982-0,Lilian's Story,Clarita Risby;Rutherford D'Ruel,7,Children's literature,Available,2
046422982-0,Lilian's Story,Clarita Risby;Rutherford D'Ruel,7,Children's literature,Available,3
046422982-0,Lilian's Story,Clarita Risby;Rutherford D'Ruel,7,Children's literature,Available,4
034628984-X,Our Nixon,Kora Blinerman;Durante Grimsdike,7,History,Available,1
033602656-0,Son of Frankenstein,Shurwood Fullicks;Shelba Robrow,2,Self help,Available,1
031129501-0,Outer Space,Holly Lucio;Odella Gregolin,1,Historical fiction,Available,1
029966888-6,"Christmas Story A",Gregoire Ferrand;Eugen MacGarrity,2,Paranormal romance,Available,1
029966888-6,"Christmas Story A",Gregoire Ferrand;Eugen MacGarrity,2,Paranormal romance,Available,2
029966888-6,"Christmas Story A",Gregoire Ferrand;Eugen MacGarrity,2,Paranormal romance,Available,3
029966888-6,"Christmas Story A",Gregoire Ferrand;Eugen MacGarrity,2,Paranormal romance,Available,4
029492075-7,Only the Strong,Stuart Marzelli;Levy McNaught,10,Paranormal romance,Available,1
029241355-6,"Food Inc.",Brigg Schlagman;Nataniel Rosencwaig,7,Historical fiction,Available,1
029241355-6,"Food Inc.",Brigg Schlagman;Nataniel Rosencwaig,7,Historical fiction,Available,2
029241355-6,"Food Inc.",Brigg Schlagman;Nataniel Rosencwaig,7,Historical fiction,Available,3
029241355-6,"Food Inc.",Brigg Schlagman;Nataniel Rosencwaig,7,Historical fiction,Available,4
027893123-5,"Tempest The",Cordelia Easton;Thom Richly,8,Comic book,Available,1
027411301-5,"White Diamond The",Jecho Mathiasen;Barrie Ivell,8,True crime,Available,1
026944250-2,PTU,Coleman Jurczik;Andrey Pevie,5,Fantasy,Available,1
017540451-8,Coming Down the Mountain,Ernesta Sterling;Galen Reilingen,8,Book review,Available,1
017540451-8,Coming Down the Mountain,Ernesta Sterling;Galen Reilingen,8,Book review,Available,2
017540451-8,Coming Down the Mountain,Ernesta Sterling;Galen Reilingen,8,Book review,Available,3
017540451-8,Coming Down the Mountain,Ernesta Sterling;Galen Reilingen,8,Book review,Available,4
016292332-5,Drumline,Georgi Eckhard;Ferdinande Will,2,Encyclopedia,Available,1
016292332-5,Drumline,Georgi Eckhard;Ferdinande Will,2,Encyclopedia,Available,2
016292332-5,Drumline,Georgi Eckhard;Ferdinande Will,2,Encyclopedia,Available,3
016292332-5,Drumline,Georgi Eckhard;Ferdinande Will,2,Encyclopedia,Available,4
007124612-6,The Beast Kills in Cold Blood,Morgen Tunno;Thebault Smails,5,Guide,Available,1
001396318-X,The Lunchbox,Sunshine Carik;Lorri Sineath,8,Graphic novel,Available,1
000114285-2,New Town Killers,Concettina Loraine;Norman Betteridge,4,Romance,Available,1
000114285-2,New Town Killers,Concettina Loraine;Norman Betteridge,4,Romance,Available,2
000114285-2,New Town Killers,Concettina Loraine;Norman Betteridge,4,Romance,Available,3
